x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0003,0.0049,0.005001,25.5965,25.5964,9.999999999976694e-05,0.00039067841306336036
0.0003,0.005,0.005001,25.5967,25.5967,0.0,0.0
0.0003,0.0051,0.005001,25.5965,25.5964,9.999999999976694e-05,0.00039067841306336036
0.0003,0.0052,0.005001,25.5957,25.5957,0.0,0.0
0.0003,0.0053,0.005001,25.5946,25.5945,9.999999999976694e-05,0.0003907074148443931
0.0003,0.0054,0.005001,25.5929,25.5928,9.999999999976694e-05,0.0003907333674564549
0.0003,0.0055,0.005001,25.5907,25.5906,9.999999999976694e-05,0.00039076695830814727
0.0003,0.0056,0.005001,25.588,25.588,0.0,0.0
0.0003,0.0057,0.005001,25.5849,25.5848,9.999999999976694e-05,0.0003908555436986779
0.0003,0.0058,0.005001,25.5812,25.5812,0.0,0.0
0.0003,0.0059,0.005001,25.5771,25.5771,0.0,0.0
0.0003,0.006,0.005001,25.5725,25.5724,0.00010000000000331966,0.0003910450679570466
0.0003,0.0061,0.005001,25.5674,25.5673,9.999999999976694e-05,0.00039112307078452657
0.0003,0.0062,0.005001,25.5618,25.5617,0.00010000000000331966,0.00039120875682978405
0.0003,0.0063,0.005001,25.5557,25.5556,0.00010000000000331966,0.0003913021361313357
0.0003,0.0064,0.005001,25.549,25.549,0.0,0.0
0.0003,0.0065,0.005001,25.5419,25.5418,9.999999999976694e-05,0.00039151355224068316
0.0003,0.0066,0.005001,25.5343,25.5342,0.00010000000000331966,0.0003916300819028356
0.0003,0.0067,0.005001,25.5261,25.526,9.999999999976694e-05,0.0003917558890694741
0.0003,0.0068,0.005001,25.5175,25.5174,9.999999999976694e-05,0.00039188792005393565
0.0003,0.0069,0.005001,25.5083,25.5082,9.999999999976694e-05,0.0003920292610631169
0.0003,0.007,0.005001,25.4986,25.4985,9.999999999976694e-05,0.0003921783941069825
0.0003,0.0071,0.005001,25.4884,25.4883,9.999999999976694e-05,0.00039233533685819054
0.0003,0.0072,0.005001,25.4777,25.4776,9.999999999976694e-05,0.0003925001079365996
0.0003,0.0073,0.005001,25.4664,25.4663,9.999999999976694e-05,0.0003926742688395809
0.0003,0.0074,0.005001,25.4546,25.4545,9.999999999976694e-05,0.0003928563010212811
0.0003,0.0075,0.005001,25.4424,25.4423,9.999999999976694e-05,0.0003930446813184409
0.0003,0.0076,0.005001,25.4296,25.4295,9.999999999976694e-05,0.00039324252052632763
